no_entidade,ds_endereco,nu_endereco,no_bairro,co_cep,sg_uf,no_municipio,nu_ddd,nu_telefone
BATISTA SANTOS DUMONT COL,RUA DESEMBARGADOR LEITE ALBUQUERQUE,1056,ALDEOTA,60150150,CE,Fortaleza,85,40082300
SERAFICO NOSSA SENHORA DO BRASIL COLEGIO,AVENIDA FREI CIRILO,4454-A,MESSEJANA,60840285,CE,Fortaleza,85,32742112
NOSSA SENHORA DO CARMO COLEGIO,RUA ELVIRA PINHO,400,MONTESE,60421000,CE,Fortaleza,85,32250601
CECILIA COLEGIO SANTA,AVENIDA SENADOR VIRGILIO TAVORA,2000,ALDEOTA,60170251,CE,Fortaleza,85,30642377
COLEGIO CHRISTUS BARAO DE STUDART,RUA JOAO CARVALHO,630,ALDEOTA,60140140,CE,Fortaleza,85,32661800
CENTRO EDUCACIONAL SAO JOSE,RUA BOA NOITE,149,MONTESE,60421570,CE,Fortaleza,85,32321541
ESCOLA SESI EUZEBIO MOTA DE ALENCAR,AVENIDA JOAO PESSOA,6754,PARANGABA,60721340,CE,Fortaleza,85,34216147
FATIMA CENTRO EDUCACIONAL NOSSA SENHORA DE,RUA FREI HENRIQUE,48,MESSEJANA,60841280,CE,Fortaleza,85,34590479
FRANCISCO PEREIRA COLEGIO CONEGO,RUA INACIO ORIA,470,MESSEJANA,60840460,CE,Fortaleza,85,40120770
COLEGIO ARI DE SA CAVALCANTE WASHINGTON SOARES,AVENIDA WASHINGTON SOARES,3737,EDSON QUEIROZ,60811341,CE,Fortaleza,85,34772000
SANTO INACIO COLEGIO,AVENIDA DESEMBARGADOR MOREIRA,2355,DIONISIO TORRES,60170173,CE,Fortaleza,85,30663013
COLEGIO PADRE JOAO PIAMARTA,RUA PADRE JOAO PIAMARTA,161,MONTESE,60410315,CE,Fortaleza,85,34941529
INSTITUTO EDUCACIONAL JOSE DE ALENCAR SC LTDA,RUA HUGO VITOR,730,ANTONIO BEZERRA,60360820,CE,Fortaleza,85,32353571
JOSE JULIO CENTRO PEDAGOGICO,RUA JOSE JULIO FEITOSA,120,SAPIRANGA,60833552,CE,Fortaleza,85,34761249
AGNUS COLEGIO,RUA TEODORICO BARROSO,827,MONTESE,60420314,CE,Fortaleza,85,34912746
DARWIN COLEGIO,RUA ILDEFONSO ALBANO,1030,ALDEOTA,60115000,CE,Fortaleza,85,32212820
LUIZ BARBOSA MOREIRA PATRONATO PE,RUA CORONEL GUILHERME ALENCAR,121,MESSEJANA,60840340,CE,Fortaleza,85,32290755
JULIA FIALHO ENSINO FUNDAMENTAL COLEGIO,RUA JOSE ACIOLY,73,ANTONIO BEZERRA,60350300,CE,Fortaleza,85,32351411
MEDICI INSTITUTO EDUCACIONAL PRESIDENTE,RUA CESAR CORREIA,973,FLORESTA,60336244,CE,Fortaleza,85,32282206
ORGANIZACAO EDUCACIONAL QUEIROZ BELEM SS LTDA,RUA 105,120,CONJUNTO ESPERANCA,60763540,CE,Fortaleza,85,32962614
7 DE SETEMBRO COLEGIO - EBS,RUA HENRIQUETA GALENO,1011,DIONISIO TORRES,60135420,CE,Fortaleza,85,40067930
HELENA COLEGIO SANTA,AVENIDA CONTORNO NORTE,819,CONJUNTO ESPERANCA,60763730,CE,Fortaleza,85,32985721
TELEYOS COLEGIO,AV. CONTORNO NORTE,1260,CONJUNTO ESPERANCA,60711220,CE,Fortaleza,85,31449900
ORGANIZACAO EDUCACIONAL PROGRESSIVO,RUA IGUAPE,66,PARANGABA,60720490,CE,Fortaleza,85,30552886
MATHEUS CENTRO EDUCACIONAL SAO,RUA 110,110,CONJUNTO ESPERANCA,60763590,CE,Fortaleza,85,32964416
LUZ DO SABER CENTRO EDUCACIONAL,RUA OTAVIO ROCHA,410,EDSON QUEIROZ,60811830,CE,Fortaleza,85,32474591
BATISTA SANTOS DUMONT - COLEGIO ANEXO I,RUA HIL DE MORAES,124,EDSON QUEIROZ,60811760,CE,Fortaleza,85,32731282
COLEGIO AFONSO ANDRADE,RUA CORONEL MATOS DOURADO,168,ANTONIO BEZERRA,60360590,CE,Fortaleza,85,32354338
COLEGIO LOURENCO FILHO - PARANGABA,RUA CONEGO DE CASTRO,700,PARANGABA,60720096,CE,Fortaleza,85,32933000
FARIAS BRITO JOVEM SEIS BOCAS COLEGIO,RUA SALVADOR CORREIA DE SA,1111,SAPIRANGA,60833183,CE,Fortaleza,85,30642852
NOVO TEMPO ESC,RUA MAJOR CELESTINO,614,ANTONIO BEZERRA,60361030,CE,Fortaleza,85,32354637
COLEGIO RAIO DE LUZ,RUA ARARIBOIA,192,PARANGABA,60710140,CE,Fortaleza,85,34951239
PRIMEIRO DEGRAU ESCOLA,RUA ANTNIO FURTADO,1055,DIONISIO TORRES,60130230,CE,Fortaleza,85,34722002
ESCOLA TIA JOYCE,RUA CLARINDO PEREIRA,1108,EDSON QUEIROZ,60834475,CE,Fortaleza,85,32736521
ESCOLA NOVO MILENIO LTDA - ME,RUA GUILHERME PERDIGAO,516,PARANGABA,60720420,CE,Fortaleza,85,32920228
GRILO FALANTE ESCOLA INFANTIL,RUA CORONEL ALEXANDRINO,400,MONTESE,60420700,CE,Fortaleza,85,32452531
ARI DE SA CAVALCANTE SEDE MARIO MAMEDE COLEGIO,RUA JOSE MARIO MAMEDE,200,EDSON QUEIROZ,60834366,CE,Fortaleza,85,34772000
COLEGIO ANTARES - ATS,RUA BARBOSA DE FREITAS,2058,DIONISIO TORRES,60170020,CE,Fortaleza,85,30340700
DUQUE DE CAXIAS COLEGIO,RUA PERU,1675,PARANGABA,60740510,CE,Fortaleza,85,34695791
CENTRO DE ENSINO GRAU TECNICO UNIDADE MONTESE,RUA BARAO DE SOBRAL,712,MONTESE,60420775,CE,Fortaleza,85,32929222
COLEGIO CEARENSE TOTAL,AVENIDA D,85,CONJUNTO ESPERANCA,60763470,CE,Fortaleza,85,34675657
ESSENCIAL COLEGIO,RUA PEDRO MELO,1005,ANTONIO BEZERRA,60360220,CE,Fortaleza,85,32351466
NOVA DIMENSAO COLEGIO,AVENIDA EDILSON BRASIL SOARES,1599,EDSON QUEIROZ,60834005,CE,Fortaleza,85,30778700
PAIVA ANDRADE COLEGIO,RUA INACIO MOREIRA,133,MESSEJANA,60871585,CE,Fortaleza,85,34724700
COLEGIO ANTARES ATS,AVENIDA PRESIDENTE ARTUR BERNARDES,2451,SAPIRANGA,60833201,CE,Fortaleza,85,33088282
COLEGIO ATENEU,RUA GURGEL DO AMARAL,1270,MESSEJANA,60871170,CE,Fortaleza,85,32764796
ARI DE SA CAVALCANTE SEDE ALDEOTA COLEGIO,TRAVESSA MONSENHOR CATAO,1655,ALDEOTA,60175010,CE,Fortaleza,85,34868400
FARIAS BRITO SEIS BOCAS COLEGIO,AVENIDA ENGENHEIRO LEAL LIMA VERDE,700,SAPIRANGA,60833175,CE,Fortaleza,85,30642800
MARIA DO CARMO ESPACO DA CRIANCA ESCOLA,RUA ENGENHEIRO PAULO CESAR BARBOSA,107,EDSON QUEIROZ,60811750,CE,Fortaleza,85,32781478
PAULO PICANCO CENTRO EDUCACIONAL PROFISSIONAL,RUA JOAQUIM SA,900,DIONISIO TORRES,60135218,CE,Fortaleza,85,32723222
CENTRO DE ENSINO GRAU TECNICO UNIDADE WASHINGTON SOARES,AVENIDA WASHINGTON SOARES,3939,SAPIRANGA,60833005,CE,Fortaleza,85,30485555
COLEGIO EVOLUIR,RUA CANDIDO MAIA,109,ANTONIO BEZERRA,60356830,CE,Fortaleza,85,32859893
COLEGIO ERNESTO GURGEL,RUA PADRE PEDRO DE ALENCAR,81,MESSEJANA,60840280,CE,Fortaleza,85,32742919
CASA DE CRIANCA ESCOLA CRECHE LTDA,RUA JOAQUIM NABUCO,2725,DIONISIO TORRES,60125121,CE,Fortaleza,85,32617621
GETSEMANI CENTRO EDUCACIONAL,RUA TOMAS RODRIGUES,1250,ANTONIO BEZERRA,60361000,CE,Fortaleza,85,32352437
JOSE DE ALENCAR CENTRO EDUCACIONAL LTDA,RUA HUGO VITOR,686,ANTONIO BEZERRA,60360820,CE,Fortaleza,85,32351031
ESCOLA CHECHE SANTA TEREZINHA,RUA GOMES BRASIL,55,PARANGABA,60720150,CE,Fortaleza,85,32259411
COLEGIO CHRISTUS UNIDADE SUL,AVENIDA ENGENHEIRO LEAL LIMA VERDE,2265,EDSON QUEIROZ,60834385,CE,Fortaleza,85,32514100
COLEGIO CHRISTUS DIONISIO TORRES,RUA ISRAEL BEZERRA,630,DIONISIO TORRES,60135460,CE,Fortaleza,85,32771500
UNIVERSO COLORIDO CENTRO EDUCACIONAL,RUA CIDADE ECOLOGICA,939,EDSON QUEIROZ,60812450,CE,Fortaleza,85,32786410
NOVO MUNDO INSTITUTO PEDAGOGICO,RUA ALPINOPOLIS,148,SAPIRANGA,60833036,CE,Fortaleza,85,32785088
